    1       0.00    4395.11    7111.44     1     0
    2       0.00   -4395.11    7111.44     1     0
    3    4395.11    7111.44       0.00     1     0
    4   -4395.11    7111.44       0.00     1     0
    5    7111.44       0.00    4395.11     1     0
    6   -7111.44       0.00    4395.11     1     0
    7      -0.00   -4395.11   -7111.44     1     0
    8      -0.00    4395.11   -7111.44     1     0
    9   -4395.11   -7111.44      -0.00     1     0
   10    4395.11   -7111.44      -0.00     1     0
   11   -7111.44      -0.00   -4395.11     1     0
   12    7111.44      -0.00   -4395.11     1     0
   13       0.00    4002.47    7339.61     1     0
   14       0.00    3572.20    7558.37     1     0
   15       0.00    3104.19    7762.32     1     0
   16       0.00    2599.72    7945.50     1     0
   17       0.00    2061.78    8101.77     1     0
   18       0.00    1495.14    8225.22     1     0
   19       0.00     906.41    8310.72     1     0
   20       0.00     303.73    8354.48     1     0
   21       0.00    -303.73    8354.48     1     0
   22       0.00    -906.41    8310.72     1     0
   23       0.00   -1495.14    8225.22     1     0
   24       0.00   -2061.78    8101.77     1     0
   25       0.00   -2599.72    7945.50     1     0
   26       0.00   -3104.19    7762.32     1     0
   27       0.00   -3572.20    7558.37     1     0
   28       0.00   -4002.47    7339.61     1     0
   29     266.83    4701.04    6907.87     1     0
   30     549.57    5010.98    6669.15     1     0
   31     846.60    5320.60    6392.50     1     0
   32    1155.43    5624.69    6075.97     1     0
   33    1472.70    5917.35    5718.90     1     0
   34    1794.16    6192.32    5322.20     1     0
   35    2114.95    6443.42    4888.66     1     0
   36    2429.81    6665.06    4422.96     1     0
   37    2733.54    6852.77    3931.52     1     0
   38    3021.36    7003.61    3422.06     1     0
   39    3289.30    7116.36    2903.02     1     0
   40    3534.47    7191.59    2382.87     1     0
   41    3755.16    7231.41    1869.53     1     0
   42    3950.78    7239.10    1369.82     1     0
   43    4121.76    7218.72     889.22     1     0
   44    4269.30    7174.70     431.74     1     0
   45    -266.83    4701.04    6907.87     1     0
   46    -549.57    5010.98    6669.15     1     0
   47    -846.60    5320.60    6392.50     1     0
   48   -1155.43    5624.69    6075.97     1     0
   49   -1472.70    5917.35    5718.90     1     0
   50   -1794.16    6192.32    5322.20     1     0
   51   -2114.95    6443.42    4888.66     1     0
   52   -2429.81    6665.06    4422.96     1     0
   53   -2733.54    6852.77    3931.52     1     0
   54   -3021.36    7003.61    3422.06     1     0
   55   -3289.30    7116.36    2903.02     1     0
   56   -3534.47    7191.59    2382.87     1     0
   57   -3755.16    7231.41    1869.53     1     0
   58   -3950.78    7239.10    1369.82     1     0
   59   -4121.76    7218.72     889.22     1     0
   60   -4269.30    7174.70     431.74     1     0
   61     431.74    4269.30    7174.70     1     0
   62     889.22    4121.76    7218.72     1     0
   63    1369.82    3950.78    7239.10     1     0
   64    1869.53    3755.16    7231.41     1     0
   65    2382.87    3534.47    7191.59     1     0
   66    2903.02    3289.30    7116.36     1     0
   67    3422.06    3021.36    7003.61     1     0
   68    3931.52    2733.54    6852.77     1     0
   69    4422.96    2429.81    6665.06     1     0
   70    4888.66    2114.95    6443.42     1     0
   71    5322.20    1794.16    6192.32     1     0
   72    5718.90    1472.70    5917.35     1     0
   73    6075.97    1155.43    5624.69     1     0
   74    6392.50     846.60    5320.60     1     0
   75    6669.15     549.57    5010.98     1     0
   76    6907.87     266.83    4701.04     1     0
   77    -431.74    4269.30    7174.70     1     0
   78    -889.22    4121.76    7218.72     1     0
   79   -1369.82    3950.78    7239.10     1     0
   80   -1869.53    3755.16    7231.41     1     0
   81   -2382.87    3534.47    7191.59     1     0
   82   -2903.02    3289.30    7116.36     1     0
   83   -3422.06    3021.36    7003.61     1     0
   84   -3931.52    2733.54    6852.77     1     0
